N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,SK바이오사이언스,"75,900",700,+0.93%,500,"58,279","76,784",4.01,"208,019",47.56,N/A,
60,오리온,"144,200",700,-0.48%,500,"57,011","39,536",41.48,"88,131",14.53,16.47,
61,넷마블,"66,200",200,-0.30%,100,"56,901","85,954",22.50,"170,086",-6.95,-14.56,
62,한국항공우주,"57,500",700,-1.20%,"5,000","56,048","97,475",27.70,"1,497,303",47.33,8.78,
63,코스모신소재,"179,400","2,600",-1.43%,"1,000","54,987","30,651",7.05,"405,347",196.93,12.13,
64,SK바이오팜,"69,300",800,-1.14%,500,"54,271","78,313",6.53,"89,945",-38.93,-36.66,
65,한화에어로스페이스,"106,500","1,200",-1.11%,"5,000","53,921","50,630",33.30,"622,224",26.85,6.98,
66,F&F,"134,700","8,000",-5.61%,100,"51,600","38,307",12.41,"299,505",11.68,60.40,
67,맥쿼리인프라,"12,470",10,-0.08%,0,"50,484","404,846",13.84,"337,351",N/A,N/A,
68,삼성중공업,"5,710",40,-0.70%,"1,000","50,248","880,000",15.88,"4,993,468",-8.11,-16.08,
69,현대제철,"37,400",50,+0.13%,"5,000","49,909","133,446",24.73,"572,527",4.90,5.56,
70,포스코인터내셔널,"27,950","1,200",-4.12%,"5,000","49,170","175,923",5.07,"1,633,572",5.85,15.79,
71,한온시스템,"9,150",90,-0.97%,100,"48,843","533,800",16.43,"526,050",240.79,0.89,
72,LG유플러스,"11,150",140,-1.24%,"5,000","48,682","436,611",38.98,"636,783",7.34,8.37,
73,TIGER CD금리투자KIS(합성),"52,245",5,+0.01%,0,"47,665","91,234",0.00,"182,459",N/A,N/A,
74,CJ제일제당,"315,500","4,000",-1.25%,"5,000","47,496","15,054",24.47,"37,155",8.67,9.26,
75,HD현대,"60,000",0,0.00%,"1,000","47,396","78,993",18.81,"145,348",3.36,20.43,
76,두산밥캣,"46,600",450,-0.96%,500,"46,716","100,249",34.88,"204,204",7.25,13.78,
77,현대건설,"41,050","1,700",+4.32%,"5,000","45,712","111,356",24.91,"972,071",11.29,5.49,
78,한국타이어앤테크놀로지,"35,350",500,-1.39%,500,"43,790","123,875",37.68,"195,801",6.34,8.14,
79,유한양행,"56,300",300,+0.54%,"1,000","43,148","76,639",20.11,"227,376",46.03,4.86,
80,미래에셋증권,"6,930",40,-0.57%,"5,000","41,948","605,316",13.04,"507,665",8.35,6.17,
81,강원랜드,"19,310",310,-1.58%,500,"41,312","213,940",17.99,"660,203",35.76,3.47,
82,SKC,"106,900",200,-0.19%,"5,000","40,481","37,868",11.62,"204,733",-59.22,-3.67,
83,금호석유,"137,700",600,-0.43%,"5,000","40,366","29,314",21.28,"75,649",4.44,19.11,
84,한미약품,"312,000",0,0.00%,"2,500","39,194","12,562",17.11,"30,253",47.34,9.89,
85,코웨이,"51,900",0,0.00%,500,"38,302","73,800",61.40,"343,807",8.36,21.72,
86,금양,"65,400","2,800",-4.11%,500,"37,965","58,050",5.06,"1,630,396",-119.13,-24.34,
87,GS,"40,550",50,-0.12%,"5,000","37,677","92,915",25.02,"148,460",1.79,18.86,
88,현대로템,"33,200","1,500",+4.73%,"5,000","36,235","109,142",13.06,"23,472,618",18.32,14.06,
89,메리츠증권,"6,100",0,0.00%,"1,000","36,184","593,181",14.58,0,5.11,15.26,
90,현대차2우B,"100,000",700,+0.70%,"5,000","36,121","36,121",62.98,"81,113",3.76,N/A,
91,씨에스윈드,"84,100","3,300",+4.08%,500,"35,466","42,171",11.95,"1,440,944","-3,656.52",-0.11,
92,KODEX KOFR금리액티브(합성),"102,750",20,+0.02%,0,"35,321","34,376",0.00,"242,505",N/A,N/A,
93,삼성카드,"30,400",150,-0.49%,"5,000","35,221","115,859",6.72,"27,707",5.66,8.08,
94,현대해상,"36,550",650,-1.75%,500,"32,676","89,400",37.79,"174,557",5.69,12.44,
95,현대오토에버,"116,900",900,-0.76%,500,"32,059","27,424",3.56,"45,500",28.14,8.00,
96,한국금융지주,"57,400",300,-0.52%,"5,000","31,987","55,726",38.51,"116,925",5.55,8.45,
97,팬오션,"5,980",150,-2.45%,"1,000","31,967","534,570",14.93,"2,310,656",4.72,16.74,
